"region"	"civilstånd"	"ålder"	"kön"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"
"10 Blekinge län"	"änkor/änklingar"	"totalt ålder"	"män"	2141	2132	2122	2104	2092	2070	2063	2048	2031	2021	2027	2013	2036	2022	2014	1984	1971	1965	1959	1916	1924	1948	1934	1928	1931	1955
"10 Blekinge län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	8892	8822	8713	8669	8588	8440	8337	8193	8111	8066	7920	7812	7673	7546	7443	7299	7217	7070	6949	6832	6783	6711	6659	6573	6437	6362
"12 Skåne län"	"ogifta"	"totalt ålder"	"män"	272420	275664	277775	279845	282168	284099	286339	289694	293556	297161	300439	303427	308830	313919	318776	324153	328041	330844	334221	338628	344393	350204	358425	366144	372306	378123
"12 Skåne län"	"ogifta"	"totalt ålder"	"kvinnor"	236902	239899	241994	243790	246015	248179	250427	253479	257244	260249	263151	266015	270198	274201	278535	283821	287497	290695	294125	298501	303556	308282	314409	320925	326908	332515
"12 Skåne län"	"gifta"	"totalt ålder"	"män"	216061	214234	212295	210478	209203	208073	207929	207602	207446	207437	208036	208995	211457	214273	217117	219267	221003	222257	223332	223711	225382	227189	230221	232445	234332	235852
"12 Skåne län"	"gifta"	"totalt ålder"	"kvinnor"	217135	215323	213408	211570	210196	209040	208819	208326	208059	207957	208823	209703	211720	213980	216818	218945	220560	221671	222795	222881	223937	225181	227739	229997	231902	233139
"12 Skåne län"	"skilda"	"totalt ålder"	"män"	39590	40984	41981	42959	43988	44894	45784	46709	47734	48590	49114	49700	50383	50879	51441	52352	53333	54101	54937	55976	56776	57502	58142	58987	59903	60638
"12 Skåne län"	"skilda"	"totalt ålder"	"kvinnor"	51172	52919	54301	55630	57015	58219	59439	60806	62015	63162	63966	64822	65821	66678	67452	68584	69820	71065	72235	73703	74954	76098	77000	78155	79376	80648
"12 Skåne län"	"änkor/änklingar"	"totalt ålder"	"män"	13735	13783	13762	13737	13713	13711	13723	13728	13714	13683	13710	13773	13738	13750	13700	13743	13618	13526	13487	13485	13422	13382	13370	13390	13364	13473
"12 Skåne län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	58971	58925	58852	58594	58128	57571	56964	56227	55322	54458	53680	53029	52353	51677	50919	50197	49457	48774	47956	47184	46488	45789	45259	44646	44073	43439
"13 Hallands län"	"ogifta"	"totalt ålder"	"män"	67829	68553	68893	69489	70089	70466	70987	71572	72319	73259	74013	74550	75307	75901	76422	77570	78405	78994	79732	80650	81967	83348	85391	87068	88654	90246
"13 Hallands län"	"ogifta"	"totalt ålder"	"kvinnor"	57965	58474	58865	59397	59884	60181	60668	61287	61926	62850	63514	64122	65048	65638	66108	67099	67890	68578	69223	70021	71101	72118	73517	74962	76315	77581
"13 Hallands län"	"gifta"	"totalt ålder"	"män"	54428	54048	53646	53477	53189	53064	52959	52921	52880	53003	53361	53555	54170	54697	55155	55479	55835	56202	56528	56833	57412	58108	58993	59549	60186	60712
"13 Hallands län"	"gifta"	"totalt ålder"	"kvinnor"	54616	54277	53827	53642	53349	53211	53098	53082	53010	53143	53468	53681	54237	54725	55125	55486	55810	56182	56517	56811	57249	57807	58659	59288	59889	60374
"13 Hallands län"	"skilda"	"totalt ålder"	"män"	7737	8024	8368	8554	8887	9144	9393	9687	9985	10319	10413	10625	10719	10902	11035	11288	11464	11552	11751	11922	12089	12329	12465	12607	12703	13024
"13 Hallands län"	"skilda"	"totalt ålder"	"kvinnor"	9580	9958	10408	10684	11035	11418	11756	12096	12421	12796	13002	13320	13497	13750	14002	14301	14546	14773	15026	15362	15593	15901	16150	16299	16593	16929
"13 Hallands län"	"änkor/änklingar"	"totalt ålder"	"män"	3233	3268	3231	3231	3224	3203	3216	3196	3242	3275	3360	3364	3319	3321	3366	3316	3342	3358	3359	3395	3443	3476	3513	3511	3500	3518
"13 Hallands län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	12679	12736	12822	12851	12882	12850	12927	12812	12768	12677	12657	12651	12562	12459	12359	12286	12192	12085	11980	11846	11811	11697	11645	11541	11512	11464
"14 Västra Götalands län"	"ogifta"	"totalt ålder"	"män"	381948	386079	388854	391190	393564	395939	399332	403476	407431	410986	414222	417277	420774	424458	428053	431848	435689	439577	442759	448655	455245	462131	471421	479103	486674	493426
"14 Västra Götalands län"	"ogifta"	"totalt ålder"	"kvinnor"	326986	330682	333222	335237	337643	340031	342790	346254	350290	353881	356983	359561	362994	365955	369243	372956	376508	380188	383737	389434	394673	400112	406950	412423	418146	423103
"14 Västra Götalands län"	"gifta"	"totalt ålder"	"män"	281412	278376	275889	272881	270138	267700	266879	265143	264106	263416	263445	263761	265210	266549	268501	269820	271353	271924	272876	273645	275970	277686	281032	283466	285590	287386
"14 Västra Götalands län"	"gifta"	"totalt ålder"	"kvinnor"	282928	279833	277307	274263	271437	269018	268013	266240	265246	264491	264513	264681	265959	266970	268878	270221	271486	271950	272869	273425	275137	276464	279303	281715	283601	284926
"14 Västra Götalands län"	"skilda"	"totalt ålder"	"män"	49330	50934	52149	53304	54508	55733	56882	58290	59413	60365	61032	61636	62030	62446	62907	63898	64501	65619	66489	67616	68358	69233	69830	70517	71529	72294
"14 Västra Götalands län"	"skilda"	"totalt ålder"	"kvinnor"	62328	64240	65981	67594	69381	70942	72528	74164	75573	76889	77741	78590	79368	80330	81100	82368	83491	84931	86140	87683	88879	90079	90987	91934	93328	94329
"14 Västra Götalands län"	"änkor/änklingar"	"totalt ålder"	"män"	18811	18800	18624	18533	18375	18245	18118	18036	17910	17720	17619	17463	17314	17110	17016	16916	16819	16860	16829	16760	16627	16612	16550	16553	16541	16503
"14 Västra Götalands län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	73627	73557	72988	72609	71872	71101	70099	69254	68261	67244	66340	65486	64635	63480	62432	61431	60450	59555	58748	57866	57123	56365	55710	55071	54405	53914
"17 Värmlands län"	"ogifta"	"totalt ålder"	"män"	74500	74537	74493	74375	74152	73979	73734	73779	74049	74624	74878	75012	75375	75611	75389	75684	75971	75785	76059	76593	77089	77966	79602	80179	80940	81779
"17 Värmlands län"	"ogifta"	"totalt ålder"	"kvinnor"	61742	62006	62019	61940	61978	62036	61898	62015	62237	62629	62920	63162	63379	63662	63616	63795	64009	63977	64286	64900	65453	66107	67263	67872	68429	68972
"17 Värmlands län"	"gifta"	"totalt ålder"	"män"	53162	52040	50997	49994	49100	48234	47582	46942	46364	45873	45529	45258	45197	45247	45260	45111	44965	44855	44929	44758	44791	44672	45098	45028	44915	44617
"17 Värmlands län"	"gifta"	"totalt ålder"	"kvinnor"	53251	52156	51086	50063	49172	48299	47633	46967	46356	45860	45547	45290	45176	45166	45261	45070	44910	44722	44782	44590	44496	44360	44744	44730	44662	44332
"17 Värmlands län"	"skilda"	"totalt ålder"	"män"	9731	9971	10233	10481	10652	10870	11070	11240	11427	11604	11780	11849	11900	11937	11913	11909	11969	12057	12026	12126	12239	12289	12286	12418	12456	12598
"17 Värmlands län"	"skilda"	"totalt ålder"	"kvinnor"	11441	11777	12043	12365	12635	12915	13176	13388	13603	13830	14030	14136	14263	14408	14456	14513	14671	14852	14843	14970	15068	15135	15179	15290	15437	15630
"17 Värmlands län"	"änkor/änklingar"	"totalt ålder"	"män"	4338	4290	4198	4140	4050	3982	3903	3878	3851	3814	3777	3736	3660	3619	3626	3601	3530	3534	3475	3426	3352	3323	3320	3309	3271	3286
"17 Värmlands län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	17333	17234	17078	16820	16574	16285	16007	15724	15532	15329	15086	14845	14539	14176	13853	13574	13240	12954	12680	12452	12203	12052	11842	11573	11372	11200
"18 Örebro län"	"ogifta"	"totalt ålder"	"män"	69542	69878	70161	70578	70814	71153	71398	71618	72248	72863	73181	73384	73845	74372	75124	75719	76436	77241	77897	79172	80412	81562	83431	85096	86432	87582
"18 Örebro län"	"ogifta"	"totalt ålder"	"kvinnor"	60112	60442	60712	61073	61434	61568	61845	62270	62758	63311	63684	64061	64413	64969	65618	66309	66839	67443	67917	68773	69743	70807	72086	73545	74939	75993
"18 Örebro län"	"gifta"	"totalt ålder"	"män"	53272	52473	51675	50823	50121	49435	48921	48228	47814	47426	46956	46788	46874	46930	47104	46992	46998	46912	47151	47178	47494	47767	48143	48440	48633	48670
"18 Örebro län"	"gifta"	"totalt ålder"	"kvinnor"	53583	52797	52040	51186	50453	49729	49182	48498	48046	47657	47227	47065	47110	47078	47290	47236	47252	47122	47309	47264	47413	47600	47936	48308	48559	48566
"18 Örebro län"	"skilda"	"totalt ålder"	"män"	9352	9666	9959	10165	10369	10522	10746	10994	11158	11323	11558	11719	11804	11876	11956	12073	12268	12434	12489	12652	12798	12917	13028	13112	13232	13426
"18 Örebro län"	"skilda"	"totalt ålder"	"kvinnor"	11356	11752	12041	12307	12570	12741	13070	13345	13596	13832	14083	14169	14313	14438	14598	14812	15006	15207	15345	15568	15797	16022	16202	16411	16620	16882
"18 Örebro län"	"änkor/änklingar"	"totalt ålder"	"män"	4083	4019	4005	3910	3867	3844	3833	3812	3743	3696	3614	3531	3475	3437	3390	3341	3292	3259	3241	3238	3186	3173	3157	3142	3172	3173
"18 Örebro län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	15528	15390	15262	15121	14956	14830	14620	14372	14049	13827	13617	13404	13196	12967	12652	12400	12139	11954	11764	11550	11307	11164	10958	10853	10665	10513
"19 Västmanlands län"	"ogifta"	"totalt ålder"	"män"	67431	67453	67313	67156	67267	67082	67141	67764	68319	68897	69410	69778	66242	66476	66752	67185	67706	68261	68979	70089	71053	72167	73598	75080	76392	77366
"19 Västmanlands län"	"ogifta"	"totalt ålder"	"kvinnor"	55369	55414	55491	55456	55531	55665	55892	56585	57278	57826	58505	58598	55900	56152	56399	56900	57419	58070	58729	59627	60355	61110	62134	63228	64284	65078
"19 Västmanlands län"	"gifta"	"totalt ålder"	"män"	50287	49671	49019	48235	47559	47065	46783	46528	46219	46048	45880	45871	43391	43563	43671	43813	43877	43998	44160	44444	44944	45261	45653	45969	46119	46033
